,Scores,Card,Loss
194,20,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753341F20>,"tf.Tensor(15.626063, shape=(), dtype=float32)"
195,10,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753375040>,"tf.Tensor(23.686888, shape=(), dtype=float32)"
196,5,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753375120>,"tf.Tensor(11.985395, shape=(), dtype=float32)"
197,28,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753375190>,"tf.Tensor(12.009409, shape=(), dtype=float32)"
198,4,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753375200>,"tf.Tensor(10.64616, shape=(), dtype=float32)"
199,23,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753375270>,"tf.Tensor(30.217834, shape=(), dtype=float32)"
200,28,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533752E0>,"tf.Tensor(15.430931, shape=(), dtype=float32)"
201,29,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753375350>,"tf.Tensor(10.9833555, shape=(), dtype=float32)"
202,13,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533753C0>,"tf.Tensor(21.029385, shape=(), dtype=float32)"
203,26,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753375430>,"tf.Tensor(31.613169, shape=(), dtype=float32)"
204,14,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533754A0>,"tf.Tensor(84.131714, shape=(), dtype=float32)"
205,0,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753375510>,"tf.Tensor(15.286513, shape=(), dtype=float32)"
206,24,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753375580>,"tf.Tensor(13.279219, shape=(), dtype=float32)"
207,0,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533755F0>,"tf.Tensor(52.12263, shape=(), dtype=float32)"
208,28,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533750B0>,"tf.Tensor(92.85045, shape=(), dtype=float32)"
209,12,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753375740>,"tf.Tensor(15.889891, shape=(), dtype=float32)"
210,4,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533756D0>,"tf.Tensor(36.35831, shape=(), dtype=float32)"
211,21,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533757B0>,"tf.Tensor(20.38601, shape=(), dtype=float32)"
212,14,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753375820>,"tf.Tensor(7.281762, shape=(), dtype=float32)"
213,5,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753375890>,"tf.Tensor(41.607056, shape=(), dtype=float32)"
214,1,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753375900>,"tf.Tensor(21.527779, shape=(), dtype=float32)"
215,12,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753375970>,"tf.Tensor(14.918831, shape=(), dtype=float32)"
216,0,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533759E0>,"tf.Tensor(16.95791, shape=(), dtype=float32)"
217,4,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753375A50>,"tf.Tensor(25.556713, shape=(), dtype=float32)"
218,14,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753375AC0>,"tf.Tensor(27.44661, shape=(), dtype=float32)"
219,17,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753375B30>,"tf.Tensor(22.184977, shape=(), dtype=float32)"
220,32,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753375BA0>,"tf.Tensor(25.322992, shape=(), dtype=float32)"
221,14,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753375C10>,"tf.Tensor(19.523895, shape=(), dtype=float32)"
222,16,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753375C80>,"tf.Tensor(14.440346, shape=(), dtype=float32)"
223,5,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753375CF0>,"tf.Tensor(20.411695, shape=(), dtype=float32)"
224,24,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753375660>,"tf.Tensor(60.38678, shape=(), dtype=float32)"
225,0,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753375E40>,"tf.Tensor(14.100178, shape=(), dtype=float32)"
226,18,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753375DD0>,"tf.Tensor(14.618248, shape=(), dtype=float32)"
227,22,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753375EB0>,"tf.Tensor(17.479044, shape=(), dtype=float32)"
228,26,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753375F20>,"tf.Tensor(43.3795, shape=(), dtype=float32)"
229,6,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753375F90>,"tf.Tensor(12.10124, shape=(), dtype=float32)"
230,28,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753375D60>,"tf.Tensor(20.853502, shape=(), dtype=float32)"
231,25,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753378040>,"tf.Tensor(32.279133, shape=(), dtype=float32)"
232,23,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753378120>,"tf.Tensor(17.15419, shape=(), dtype=float32)"
233,34,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753378190>,"tf.Tensor(26.76363, shape=(), dtype=float32)"
234,10,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753378200>,"tf.Tensor(25.775074, shape=(), dtype=float32)"
235,44,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753378270>,"tf.Tensor(34.517212, shape=(), dtype=float32)"
236,0,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533782E0>,"tf.Tensor(19.65829, shape=(), dtype=float32)"
237,13,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753378350>,"tf.Tensor(43.392944, shape=(), dtype=float32)"
238,4,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533783C0>,"tf.Tensor(12.068263, shape=(), dtype=float32)"
239,26,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753378430>,"tf.Tensor(27.170353, shape=(), dtype=float32)"
240,13,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533780B0>,"tf.Tensor(21.184391, shape=(), dtype=float32)"
241,14,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753378580>,"tf.Tensor(34.60283, shape=(), dtype=float32)"
242,6,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753378510>,"tf.Tensor(22.347317, shape=(), dtype=float32)"
243,29,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533785F0>,"tf.Tensor(22.401514, shape=(), dtype=float32)"
244,11,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753378660>,"tf.Tensor(33.747356, shape=(), dtype=float32)"
245,5,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533786D0>,"tf.Tensor(10.331523, shape=(), dtype=float32)"
246,5,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753378740>,"tf.Tensor(14.364201, shape=(), dtype=float32)"
247,3,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533787B0>,"tf.Tensor(46.97328, shape=(), dtype=float32)"
248,4,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753378820>,"tf.Tensor(21.593622, shape=(), dtype=float32)"
249,2,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753378890>,"tf.Tensor(24.798386, shape=(), dtype=float32)"
250,17,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753378900>,"tf.Tensor(15.607937, shape=(), dtype=float32)"
251,4,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753378970>,"tf.Tensor(37.19158, shape=(), dtype=float32)"
252,8,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533789E0>,"tf.Tensor(51.3987, shape=(), dtype=float32)"
253,21,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753378A50>,"tf.Tensor(37.024517, shape=(), dtype=float32)"
254,25,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753378B30>,"tf.Tensor(17.385523, shape=(), dtype=float32)"
255,0,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753378BA0>,"tf.Tensor(28.764278, shape=(), dtype=float32)"
256,14,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753378AC0>,"tf.Tensor(45.712875, shape=(), dtype=float32)"
257,6,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753378CF0>,"tf.Tensor(16.738604, shape=(), dtype=float32)"
258,4,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753378C80>,"tf.Tensor(58.353073, shape=(), dtype=float32)"
259,8,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753378D60>,"tf.Tensor(15.721262, shape=(), dtype=float32)"
260,17,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753378DD0>,"tf.Tensor(56.237274, shape=(), dtype=float32)"
261,9,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753378E40>,"tf.Tensor(21.698572, shape=(), dtype=float32)"
262,22,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753378EB0>,"tf.Tensor(12.256212, shape=(), dtype=float32)"
263,27,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753378F20>,"tf.Tensor(16.391197, shape=(), dtype=float32)"
264,30,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753378F90>,"tf.Tensor(14.79656, shape=(), dtype=float32)"
265,11,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753378C10>,"tf.Tensor(24.72133, shape=(), dtype=float32)"
266,22,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753350040>,"tf.Tensor(12.176849, shape=(), dtype=float32)"
267,13,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753350120>,"tf.Tensor(14.7897625, shape=(), dtype=float32)"
268,17,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753350190>,"tf.Tensor(8.171883, shape=(), dtype=float32)"
269,6,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753350200>,"tf.Tensor(23.661953, shape=(), dtype=float32)"
270,12,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753350270>,"tf.Tensor(11.15693, shape=(), dtype=float32)"
271,9,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533502E0>,"tf.Tensor(23.831598, shape=(), dtype=float32)"
272,4,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533500B0>,"tf.Tensor(22.238674, shape=(), dtype=float32)"
273,0,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753350430>,"tf.Tensor(8.974507, shape=(), dtype=float32)"
274,6,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533503C0>,"tf.Tensor(18.878752, shape=(), dtype=float32)"
275,24,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533504A0>,"tf.Tensor(30.140419, shape=(), dtype=float32)"
276,13,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753350510>,"tf.Tensor(32.55274, shape=(), dtype=float32)"
277,11,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753350580>,"tf.Tensor(33.471825, shape=(), dtype=float32)"
278,4,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533505F0>,"tf.Tensor(41.24167, shape=(), dtype=float32)"
279,4,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753350660>,"tf.Tensor(18.5498, shape=(), dtype=float32)"
280,34,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533506D0>,"tf.Tensor(26.326172, shape=(), dtype=float32)"
281,25,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753350740>,"tf.Tensor(70.06654, shape=(), dtype=float32)"
282,3,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533507B0>,"tf.Tensor(8.970245, shape=(), dtype=float32)"
283,15,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753350820>,"tf.Tensor(18.130417, shape=(), dtype=float32)"
284,13,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753350890>,"tf.Tensor(64.618286, shape=(), dtype=float32)"
285,28,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753350900>,"tf.Tensor(8.122689, shape=(), dtype=float32)"
286,20,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753350970>,"tf.Tensor(26.150434, shape=(), dtype=float32)"
287,7,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533509E0>,"tf.Tensor(14.173382, shape=(), dtype=float32)"
288,8,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753350350>,"tf.Tensor(21.150173, shape=(), dtype=float32)"
289,20,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753350B30>,"tf.Tensor(57.35339, shape=(), dtype=float32)"
290,31,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753350AC0>,"tf.Tensor(29.322891, shape=(), dtype=float32)"
291,7,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753350BA0>,"tf.Tensor(24.359653, shape=(), dtype=float32)"
292,29,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753350C10>,"tf.Tensor(14.286258, shape=(), dtype=float32)"
293,11,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753350C80>,"tf.Tensor(19.214973, shape=(), dtype=float32)"
294,29,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753350CF0>,"tf.Tensor(12.8442, shape=(), dtype=float32)"
295,12,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753350D60>,"tf.Tensor(26.551847, shape=(), dtype=float32)"
296,1,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753350DD0>,"tf.Tensor(35.257534, shape=(), dtype=float32)"
297,4,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753350E40>,"tf.Tensor(13.57309, shape=(), dtype=float32)"
298,11,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753350EB0>,"tf.Tensor(22.829163, shape=(), dtype=float32)"
299,4,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753350F20>,"tf.Tensor(18.457064, shape=(), dtype=float32)"
300,12,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753350F90>,"tf.Tensor(43.224495, shape=(), dtype=float32)"
301,17,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753350A50>,"tf.Tensor(23.904354, shape=(), dtype=float32)"
302,12,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753365040>,"tf.Tensor(21.560156, shape=(), dtype=float32)"
303,10,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753365120>,"tf.Tensor(19.77504, shape=(), dtype=float32)"
304,16,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533650B0>,"tf.Tensor(15.666727, shape=(), dtype=float32)"
305,23,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753365270>,"tf.Tensor(16.700851, shape=(), dtype=float32)"
306,12,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753365190>,"tf.Tensor(32.147808, shape=(), dtype=float32)"
307,16,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533652E0>,"tf.Tensor(20.100277, shape=(), dtype=float32)"
308,17,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753365350>,"tf.Tensor(93.04051, shape=(), dtype=float32)"
309,22,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533653C0>,"tf.Tensor(24.34474, shape=(), dtype=float32)"
310,6,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753365430>,"tf.Tensor(27.412632, shape=(), dtype=float32)"
311,6,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533654A0>,"tf.Tensor(21.35218, shape=(), dtype=float32)"
312,19,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753365510>,"tf.Tensor(18.989294, shape=(), dtype=float32)"
313,14,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753365580>,"tf.Tensor(49.835686, shape=(), dtype=float32)"
314,13,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533655F0>,"tf.Tensor(12.469107, shape=(), dtype=float32)"
315,9,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753365660>,"tf.Tensor(23.829212, shape=(), dtype=float32)"
316,7,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533656D0>,"tf.Tensor(15.461507, shape=(), dtype=float32)"
317,18,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753365740>,"tf.Tensor(16.6207, shape=(), dtype=float32)"
318,8,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533657B0>,"tf.Tensor(22.022465, shape=(), dtype=float32)"
319,0,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753365820>,"tf.Tensor(12.513767, shape=(), dtype=float32)"
320,4,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753365200>,"tf.Tensor(7.589012, shape=(), dtype=float32)"
321,0,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753365970>,"tf.Tensor(15.5335655, shape=(), dtype=float32)"
322,4,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753365900>,"tf.Tensor(21.462446, shape=(), dtype=float32)"
323,7,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533659E0>,"tf.Tensor(15.15246, shape=(), dtype=float32)"
324,31,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753365A50>,"tf.Tensor(24.624533, shape=(), dtype=float32)"
325,19,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753365AC0>,"tf.Tensor(18.060884, shape=(), dtype=float32)"
326,6,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753365B30>,"tf.Tensor(55.275974, shape=(), dtype=float32)"
327,6,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753365BA0>,"tf.Tensor(10.431806, shape=(), dtype=float32)"
328,5,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753365C10>,"tf.Tensor(9.721281, shape=(), dtype=float32)"
329,12,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753365C80>,"tf.Tensor(28.873306, shape=(), dtype=float32)"
330,11,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753365CF0>,"tf.Tensor(35.260372, shape=(), dtype=float32)"
331,0,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753365D60>,"tf.Tensor(23.48193, shape=(), dtype=float32)"
332,18,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753365DD0>,"tf.Tensor(11.974703, shape=(), dtype=float32)"
333,6,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753365E40>,"tf.Tensor(11.301575, shape=(), dtype=float32)"
334,39,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753365EB0>,"tf.Tensor(25.508461, shape=(), dtype=float32)"
335,0,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753365F20>,"tf.Tensor(11.609703, shape=(), dtype=float32)"
336,11,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753365890>,"tf.Tensor(23.148544, shape=(), dtype=float32)"
337,22,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753365F90>,"tf.Tensor(48.531166, shape=(), dtype=float32)"
338,14,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753387040>,"tf.Tensor(34.681957, shape=(), dtype=float32)"
339,22,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753387120>,"tf.Tensor(15.826127, shape=(), dtype=float32)"
340,7,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753387190>,"tf.Tensor(15.990086, shape=(), dtype=float32)"
341,7,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753387200>,"tf.Tensor(14.142566, shape=(), dtype=float32)"
342,26,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753387270>,"tf.Tensor(9.767994, shape=(), dtype=float32)"
343,15,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533872E0>,"tf.Tensor(16.635765, shape=(), dtype=float32)"
344,4,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753387350>,"tf.Tensor(15.198513, shape=(), dtype=float32)"
345,8,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533873C0>,"tf.Tensor(20.8802, shape=(), dtype=float32)"
346,6,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753387430>,"tf.Tensor(36.615906, shape=(), dtype=float32)"
347,11,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533874A0>,"tf.Tensor(38.99798, shape=(), dtype=float32)"
348,4,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753387510>,"tf.Tensor(9.055738, shape=(), dtype=float32)"
349,4,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753387580>,"tf.Tensor(6.1836443, shape=(), dtype=float32)"
350,14,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533875F0>,"tf.Tensor(38.60749, shape=(), dtype=float32)"
351,9,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753387660>,"tf.Tensor(45.371834, shape=(), dtype=float32)"
352,15,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533870B0>,"tf.Tensor(16.17295, shape=(), dtype=float32)"
353,4,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533877B0>,"tf.Tensor(13.795418, shape=(), dtype=float32)"
354,31,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753387740>,"tf.Tensor(14.265829, shape=(), dtype=float32)"
355,24,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753387820>,"tf.Tensor(24.28026, shape=(), dtype=float32)"
356,5,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753387890>,"tf.Tensor(23.77323, shape=(), dtype=float32)"
357,7,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753387900>,"tf.Tensor(13.92289, shape=(), dtype=float32)"
358,22,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753387970>,"tf.Tensor(40.27468, shape=(), dtype=float32)"
359,12,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533879E0>,"tf.Tensor(22.779896, shape=(), dtype=float32)"
360,5,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753387A50>,"tf.Tensor(22.406403, shape=(), dtype=float32)"
361,6,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753387AC0>,"tf.Tensor(14.896219, shape=(), dtype=float32)"
362,0,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753387B30>,"tf.Tensor(17.301931, shape=(), dtype=float32)"
363,0,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753387BA0>,"tf.Tensor(12.870573, shape=(), dtype=float32)"
364,0,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753387C10>,"tf.Tensor(11.911163, shape=(), dtype=float32)"
365,27,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753387C80>,"tf.Tensor(22.497185, shape=(), dtype=float32)"
366,5,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753387CF0>,"tf.Tensor(21.261494, shape=(), dtype=float32)"
367,18,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753387D60>,"tf.Tensor(57.87069, shape=(), dtype=float32)"
368,31,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533876D0>,"tf.Tensor(16.56456, shape=(), dtype=float32)"
369,30,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753387EB0>,"tf.Tensor(21.356289, shape=(), dtype=float32)"
370,24,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753387E40>,"tf.Tensor(19.714417, shape=(), dtype=float32)"
371,6,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753387F20>,"tf.Tensor(39.144684, shape=(), dtype=float32)"
372,11,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753387F90>,"tf.Tensor(31.286573, shape=(), dtype=float32)"
373,9,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753387DD0>,"tf.Tensor(15.354105, shape=(), dtype=float32)"
374,4,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753398040>,"tf.Tensor(15.496852, shape=(), dtype=float32)"
375,28,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753398120>,"tf.Tensor(30.563091, shape=(), dtype=float32)"
376,6,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753398190>,"tf.Tensor(8.445426, shape=(), dtype=float32)"
377,34,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753398200>,"tf.Tensor(16.4057, shape=(), dtype=float32)"
378,20,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753398270>,"tf.Tensor(14.170475, shape=(), dtype=float32)"
379,20,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533982E0>,"tf.Tensor(10.632826, shape=(), dtype=float32)"
380,8,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753398350>,"tf.Tensor(6.566781, shape=(), dtype=float32)"
381,14,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533983C0>,"tf.Tensor(15.1016, shape=(), dtype=float32)"
382,5,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753398430>,"tf.Tensor(8.342993, shape=(), dtype=float32)"
383,28,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533984A0>,"tf.Tensor(6.525952, shape=(), dtype=float32)"
384,13,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533980B0>,"tf.Tensor(27.64316, shape=(), dtype=float32)"
385,13,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533985F0>,"tf.Tensor(26.607002, shape=(), dtype=float32)"
386,42,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753398580>,"tf.Tensor(18.347885, shape=(), dtype=float32)"
387,15,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753398660>,"tf.Tensor(16.759304, shape=(), dtype=float32)"
388,8,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533986D0>,"tf.Tensor(12.68182, shape=(), dtype=float32)"
